,name,roast,acid,body,desc_1,region,keyword,new_keyword,cluster
10,Costa Rica Las Lajas Red Honey,0.4,0.8,0.9,"Crisply sweet-tart, richly fruit-toned Costa Rica coffee produced by Oscar and Francisca Chacon and roasted by Durango Coffee in Durango, Colorado.",central_america,"['rica', 'coffee', 'durango', 'costa', 'chacon']",other,2
11,Garden of Eden,0.4,0.9,0.8,"Very sweet, orangey and chocolate-toned. Ripe mandarin orange, dark chocolate, hazelnut, freesia-like flowers, cedar in aroma and cup. Sweet structure with tart, citrusy acidity; crisp, satiny mouthfeel. Sweetly citrusy, wood-framed finish with undertones of dark chocolate.",south_america,"['citrusy', 'chocolate', 'orange', 'hazelnut', 'mandarin']","fruity, chocolate, nutty, sour",1
12,Colombia Finca Santa Maria Honey Tabi,0.4,0.9,0.8,"Deeply chocolaty, richly fruit-toned. Dark chocolate, black cherry, almond butter, tangerine zest, cedar in aroma and cup. Sweet-toned with bright, juicy acidity; crisp, satiny mouthfeel. The finish consolidates to notes of dark chocolate and almond. ",south_america,"['chocolaty', 'chocolate', 'almond', 'tangerine', 'toned']","fruity, chocolate, nutty",1
13,Mexico La Peña,0.4,0.8,0.8,"Crisply sweet, citrusy and bright. Orange zest, baking chocolate, agave syrup, lily, cashew in aroma and cup. Tart-leaning structure with brisk acidity; velvety mouthfeel. The gently drying finish consolidates to suggestions of chocolate and lily.",central_america,"['chocolate', 'citrusy', 'cashew', 'baking']","chocolate, nutty, sour, body",4
14,Ethiopia Reko Yirgacheffe,0.4,0.9,0.9,"Rich-toned, deeply floral. White peach, tea rose, cocoa nib, pink grapefruit zest, cedar in aroma and cup. Sweetly tart with high-toned acidity; satiny-smooth mouthfeel. Cocoa nib and tea rose characterize the quiet, confident finish.",africa_arabia,"['floral', 'cocoa', 'peach', 'tea']","fruity, chocolate, floral",2
15,Double-Anaerobic Fermentation Tamiru Tadesse,0.2,0.9,0.9,"Richly floral-toned, crisply sweet. Honeysuckle, lime zest, cocoa nib, marjoram, cedar in aroma and cup. Brightly sweet structure with juicy acidity; full, syrupy mouthfeel. The finish consolidates to notes of honeysuckle and lime.",africa_arabia,"['honeysuckle', 'floral', 'cocoa', 'lime']","chocolate, floral, sour",2
16,Ethiopia Chelbesa Danche Yirgacheffe,0.4,0.9,0.9,"Elegantly sweet, floral-toned. Lilac, almond, pink peppercorn, apricot, nougat in aroma and cup. Balanced, sweetly tart structure with juicy acidity; syrupy, viscous mouthfeel. The finish consolidates to notes of sweet almond and pink peppercorn.",africa_arabia,"['floral', 'lilac', 'peppercorn', 'almond']","nutty, spicy, floral",2
17,Ethiopia Honey Process Tamiru Tadesse,0.2,0.9,0.9,"Delicately fruit-toned, tisane-like. Dried strawberry, baking chocolate, lemon verbena, maple syrup, cashew butter in aroma and cup. Sweetly tart structure with gently bright acidity; silky mouthfeel. Pleasing, quietly berry-toned finish.",africa_arabia,"['tisane', 'strawberry', 'cashew', 'silky']","nutty, berry",2
18,Colombia Planadas Tolima,0.2,0.9,0.8,"Delicate, richly aromatic. Pineapple, almond nougat, magnolia, myrrh, bergamot in aroma and cup. Richly bittersweet structure with high-toned acidity; smooth, syrupy mouthfeel. Gentle, crisply sweet finish with notes of almond and myrrh.",south_america,"['pineapple', 'almond', 'bergamot', 'syrupy']","fruity, sweety, nutty",2
19,Kenya Kiambu,0.2,0.9,0.8,"Sweetly savory, deep-toned. Black currant, tomato leaf, tangerine, amber, jasmine in aroma and cup. Bright, savorly-leaning structure with sparkling acidity; crisp, lightly satiny mouthfeel. The rich finish centers around notes of black currant and tangerine.",africa_arabia,"['tangerine', 'currant', 'sparkling', 'leaf']","fruity, floral",2
20,Guatemala David Solano Single-Origin Espresso,0.4,0.8504273504273505,0.9,"Sweetly tart, deeply chocolaty. Dark chocolate, pomegranate, nutmeg, lemon-thyme, cedar in aroma and small cup. Syrupy-smooth mouthfeel; chocolaty finish with tart pomegranate undertones. In three parts milk, tart fruit and crisp chocolate mingle.",central_america,"['chocolate', 'chocolaty', 'pomegranate', 'tart', 'sweetly']","fruity, sweety, chocolate",1
21,Ethiopia Chelechele Yirgacheffe,0.4,0.8,0.9,"Richly sweet, berry-toned. Blueberry pie, baking chocolate, lemon-thyme, agave syrup, cedar in aroma and cup. Sweet structure with gentle acidity; very full, creamy mouthfeel. Richly cedar-framed finish with undertones of crisp chocolate and dried blueberry.",africa_arabia,"['blueberry', 'chocolate', 'pie', 'creamy', 'baking']","sweety, chocolate, berry, body",4
22,Tropical Summer Colombia La Sierra,0.4,0.9,0.8,"Fruit-driven, crisply chocolaty. Goji berry, dried plum, baking chocolate, amber, narcissus in aroma and cup. Crisply sweet structure with balanced acidity; lightly satiny mouthfeel. Fruit-toned finish supported by notes of baking chocolate.",south_america,"['chocolate', 'chocolaty', 'fruit', 'baking']","fruity, chocolate, body",4
23,Festivity Blend,0.4,0.8,0.9,"Richly sweet, nut-toned. Almond nougat, tangerine, cocoa powder, freesia-like flowers, oak in aroma and cup. Sweet-toned structure with brisk acidity; plush, satiny mouthfeel. Crisply nut-toned finish with undertones of cocoa-powder.",,"['cocoa', 'almond', 'tangerine', 'powder']","fruity, chocolate, nutty",2
24,Ethiopia Halo Beriti,0.4,0.9,0.9,"Richly floral, deeply savory, invitingly complex. Lilac, cocoa nib, strawberry guava, myrrh, salted caramel in aroma and cup. Sweet-savory structure with sparkling acidity; elegantly viscous mouthfeel. Long, lingering cocoa- and floral-toned finish.",africa_arabia,"['floral', 'cocoa', 'caramel', 'lilac', 'strawberry']","sweety, chocolate, floral, berry",2
25,Espresso Giusto,0.4,0.8504273504273505,0.9,"Evaluated as espresso. Chocolaty, sweetly spice-toned. Dark chocolate, date, almond butter, nutmeg, molasses in aroma and small cup. Creamy mouthfeel; crisply chocolaty finish. In three parts milk, chocolate notes take center stage, supported by almond and nutmeg.",,"['espresso', 'chocolaty', 'chocolate', 'creamy', 'milk']","sweety, chocolate",0
26,Narsha Gesha,0.2,0.9,0.9,"Richly fruit-toned, cocoa-driven. Bing cherry, lychee, tangerine, cocoa nib, magnolia in aroma and cup. Very sweet, gently tart structure with juicy acidity; plush, viscous mouthfeel. Resonantly integrated, fruity and cocoa-toned finish.",africa_arabia,"['cocoa', 'cherry', 'fruit', 'tangerine']","fruity, chocolate",2
27,Ethiopia Yirgacheffe,0.4,0.9,0.8,"Juicy, citrusy-sweet. Tangerine, cocoa nib, plum, marjoram, freesia-like flowers in aroma and cup. Sweet-tart structure with vibrant, high-toned acidity; lightly satiny mouthfeel. The finish consolidates to notes of tangerine zest and cocoa nib.",africa_arabia,"['tangerine', 'cocoa', 'citrusy', 'flowers']","fruity, chocolate, floral, sour",2
28,Nicaragua Los Pedernales,0.2,0.8,0.9,"Gently fruit-toned, crisply chocolaty. Strawberry, baking chocolate, marjoram, cedar, honey in aroma and cup. Sweet in structure with brisk acidity; full, syrupy mouthfeel. Chocolaty finish with undertones of rich cedar.",central_america,"['chocolaty', 'chocolate', 'strawberry', 'baking', 'fruit']","fruity, chocolate, berry, body",4
29,Ethiopia Washed Guji Uraga Welichu,0.4,0.9,0.9,"Remarkably sweet, rich-toned, deeply floral. Star jasmine, lychee, dried ginger, cocoa nib, myrrh in aroma and cup. Sweetly tart structure with juicy, lively acidity; delicate, very syrupy mouthfeel. Crisp, long, fruit- and cocoa-toned finish.",africa_arabia,"['floral', 'cocoa', 'jasmine', 'ginger']","chocolate, spicy, floral",2
30,Don Roger & Isabel’s Natural Fruit Symphony,0.4,0.9,0.9,"Cocoa-toned, bright and vibrant. Cocoa nib, pink grapefruit zest, pomegranate, freesia-like flowers, cedar in aroma and cup. Balanced, sweet-tart structure with juicy acidity; syrupy-smooth mouthfeel. The cocoa-toned finish is complicated by spicy floral tones.",central_america,"['cocoa', 'floral', 'toned', 'nib']","chocolate, floral",2
31,Kenya Gitare AA TOP,0.2,0.9,0.9,"Sweetly bright, richly savory. Narcissus, pink grapefruit zest, ripe blackberry, cocoa nib, salted caramel in aroma and cup. Sweet-savory, complex structure with juicy acidity; plush, very syrupy mouthfeel. Narcissus and salted caramel notes lead in the long, resonant finish.",africa_arabia,"['caramel', 'ripe', 'grapefruit', 'savory', 'cocoa']","fruity, sweety, chocolate, body",2
32,Costa Rica Naranjo Danilo Salazar Arias,0.2,0.8,0.9,"Crisply sweet, brightly tart. Tamarind, pineapple taffy, almond, lime zest, magnolia in aroma and cup. Sweetly tart structure with brisk acidity; very smooth, syrupy mouthfeel. Crisply fruity finish with undertones of almond butter.",central_america,"['taffy', 'almond', 'pineapple', 'syrupy']","fruity, sweety, nutty",2
33,Yemen Natural Sana’a Manakhah Ja’adi,0.4,0.9,0.9,"Deeply spice-toned, richly layered. Black currant, clove, dark chocolate, tangerine zest, cedar in aroma and cup. Very sweet with winey acidity; creamy-smooth mouthfeel. The long, chocolaty finish is supported by notes of black currant and clove.",africa_arabia,"['clove', 'spice', 'chocolate', 'tangerine']","fruity, chocolate, spicy, floral",1
34,Ethiopia Bench Maji Gesha Special Natural Lot 03,0.2,0.9,0.9,"Richly sweet, cocoa-driven and crisply fruity. Concord grape, dark chocolate, plumeria, marjoram, sandalwood in aroma and cup. Sweet-toned structure with bright, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish leads with fruit and chocolate suggestions. ",africa_arabia,"['chocolate', 'cocoa', 'grape', 'fruit']","fruity, chocolate",2
35,Ethiopia Yirgacheffe Kochere Debo Premium Lot Washed Process,0.2,0.9,0.9,"Complex, delicate, richly sweet. Star jasmine, pink grapefruit zest, nectarine, sandalwood, bay leaf in aroma and cup. Crisp, sweetly tart structure with bright acidity; silky-smooth, vibrant mouthfeel. Grapefruit, nectarine and cashew notes lead in the multi-layered finish. ",africa_arabia,"['grapefruit', 'nectarine', 'mouthfeel', 'jasmine']","fruity, floral, body",2
36,Ethiopia Natural Yirgacheffe Burtukaana Danche,0.4,0.9,0.9,"Rich, intensely floral, fruit-toned. Lilac, dried apricot, baking chocolate, frankincense, fresh-cut oak in aroma and cup. Lively, sweet-tart structure with vibrant acidity; full, syrupy-smooth mouthfeel. The resonant finish centers around crisp citrus and sweet floral tones, deepened by notes of baking chocolate.",africa_arabia,"['floral', 'lilac', 'citrus', 'chocolate']","chocolate, floral, sour",1
37,Finca Buenavista Edwin Zambrano Colombia,0.4,0.9,0.8,"Fruit-forward, crisply tropical. Strawberry guava, baking chocolate, lemon verbena, fresh-cut oak, brown sugar in aroma and cup. Sweet in structure with balanced, lively acidity; plush, syrupy mouthfeel. Crisply cocoa-toned finish with undertones of lemon verbena.",south_america,"['fruit', 'chocolate', 'strawberry', 'cocoa', 'guava']","fruity, chocolate, berry",2
38,Ethiopia Guji Uraga Wolichu Wachu Anaerobic Natural Process,0.2,0.8,0.9,"Delicately fruity, spice-toned. Red plum, ginger blossom, cocoa nib, lemon balm, maple syrup in aroma and cup. Gently vibrant structure with round acidity; viscous, satiny mouthfeel. Cocoa-toned finish, supported by notes of lemon balm and maple syrup.",africa_arabia,"['syrup', 'cocoa', 'blossom', 'plum']","fruity, sweety, chocolate, floral",3
39,Bouquet Serenade 1982 Espresso Blend,0.4,0.8504273504273505,0.8,"Evaluated as espresso. Deeply sweet, richly earth-toned and chocolaty. Blueberry coulis, dark chocolate, pipe tobacco, cedar, magnolia in aroma and small cup. Crisply viscous mouthfeel; fruit-driven finish with dark chocolate undertones. In three parts milk, fruit and chocolate notes mingle with earthy-sweet pipe tobacco and cedar.",,"['espresso', 'chocolaty', 'chocolate', 'blueberry']","chocolate, berry",0
40,Honduras Copan Finca Liquidambar Natural Process,0.4,0.8,0.9,"Crisp, balanced, vibrant. Cocoa nib, tea rose, hazelnut, marjoram, red apple in aroma and cup. Sweet structure with gentle acidity; buttery mouthfeel. The nuanced finish leads with notes of cocoa nib and marjoram, supported by red apple.",central_america,"['cocoa', 'hazelnut', 'nib', 'tea']","chocolate, nutty",2
41,Colombia Tolima La Gallera Honey Process,0.4,0.8,0.9,"Crisply sweet, spice-toned. Pie cherry, oak, baking chocolate, freesia-like flowers, sandalwood in aroma and cup. Sweet in structure with citrusy acidity; syrupy-smooth mouthfeel. The finish centers around tart stone fruit and aromatic wood notes, with a hint of spicy florals underneath.",south_america,"['florals', 'chocolate', 'cherry', 'citrusy']","fruity, chocolate, floral, sour",1
42,The Glistening Orchard Blend,0.4,0.7,0.8,"Fruity and crisply chocolaty. Green banana, cane sugar, dark chocolate, cedar, cashew in aroma and cup. Sweetly tart with sharp acidity; full, velvety mouthfeel. The finish consolidates to notes of chocolate-toned banana and cashew.",,"['banana', 'chocolate', 'chocolaty', 'cashew', 'fruity']","fruity, chocolate, nutty",1
43,Ethiopia Hateso Guji Washed,0.4,0.9,0.9,"Complex, nuanced, deep. White nectarine, lavender, dark chocolate, maple syrup, tangerine zest in aroma and cup. Richly sweet structure with crisply bright acidity; very full, syrupy mouthfeel. Cocoa-toned finish supported by notes of white nectarine and maple syrup.",africa_arabia,"['nectarine', 'syrup', 'chocolate', 'cocoa', 'syrupy']","fruity, sweety, chocolate",3
44,El Salvador Unicorn,0.4,0.9,0.8,"Sweetly-tart, elegantly fruit-driven. Lychee, cocoa nib, Fig Newton, star jasmine, cedar in aroma and cup. Brightly sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. Cocoa nib and date lead in the resonant finish.",central_america,"['cocoa', 'sweetly', 'fruit', 'tart']","fruity, sweety, chocolate",2
45,Alishan Washed,0.6,0.8,0.9,"Balanced, gently bright. Red grape, almond, cedar, narcissus, baking chocolate in aroma and cup. Sweet-toned structure with brisk acidity; full, creamy mouthfeel. The short finish leads with notes of red grape and baking chocolate, rounding to sweet almond in the long with undertones of cedar.",,"['chocolate', 'almond', 'baking', 'grape']","fruity, chocolate, nutty, body",4
46,Ethiopia Wush Wush Black Honey Lot 2,0.4,0.8,0.9,"Floral and richly fruit-toned. Guava, tea rose, sage, pralines, cane sugar in aroma and cup. Sweet-tart structure with winy acidity; full, syrupy mouthfeel. The rich finish leads with notes of tea rose and guava, supported by cane sugar.",africa_arabia,"['floral', 'guava', 'sugar', 'fruit']","fruity, sweety, floral",2
47,Alishan Natural,0.4,0.8,0.9,"Crisply sweet, delicately fruity. Persimmon, hazelnut, tiger lily, fresh-cut fir, brown sugar in aroma and cup. Sweet structure with brisk acidity; syrupy-smooth mouthfeel. The wood-framed finish is crisply sweet into the long.",,"['hazelnut', 'sugar', 'persimmon', 'syrupy']","fruity, sweety, nutty",2
48,Guatemala El Injerto Pacamara,0.4,0.9,0.9,"Complex, multi-layered, resonantly deep. Dark chocolate, summer savory herb, creme brulee, Asian pear, violet in aroma and cup. Sweet-savory structure with richly bittersweet acidity; syrupy-smooth mouthfeel. Crisply chocolaty finish supported by Asian pear and summer savory notes.",central_america,"['chocolate', 'chocolaty', 'savory', 'creme']","chocolate, body",1
49,Honduras Roberto Figueroa,0.4,0.9,0.8,"Savory leaning, complexly sweet. Jackfruit, black sesame, freesia, agave syrup, fresh-cut oak in aroma and cup. Savory-sweet structure with juicy, apple-toned malic acidity; crisp, dry Vermouth-like mouthfeel. Quiet finish with notes of jackfruit and black sesame.",central_america,"['jackfruit', 'vermouth', 'sesame', 'syrup', 'savory']","fruity, sweety, body",3
50,Guatemala Tojquia,0.4,0.9,0.9,"Vibrant, elegantly layered. Pink grapefruit, papaya, cocoa nib, dried hibiscus, cedar in aroma and cup. Sweet-toned with bright acidity; lush mouthfeel. Clean, lingering finish.",central_america,"['grapefruit', 'cocoa', 'papaya', 'vibrant']","fruity, chocolate",2
51,Guatemala Don Angel,0.4,0.9,0.8,"Sweetly tart, high-toned. Pie cherry, baking chocolate, cane sugar, almond, a hint of narcissus in aroma and cup. Tart-leaning structure with juicy acidity; delicately satiny mouthfeel. The clean, refreshing finish is centered around tart fruit notes.",central_america,"['tart', 'pie', 'chocolate', 'cherry', 'sweetly']","fruity, sweety, chocolate",1
52,El Salvador La Lagunita,0.4,0.8,0.8,"Deeply chocolaty, richly sweet. Dark chocolate, cantaloupe, pipe tobacco, hazelnut, cedar in aroma and cup. Sweet structure with brisk acidity; crisp, velvety mouthfeel. The finish consolidates to notes of pipe tobacco and hazelnut.",central_america,"['chocolate', 'chocolaty', 'hazelnut', 'tobacco']","chocolate, nutty, spicy",1
53,El Salvador Finca Santa Elena El Corozo Pacamara,0.4,0.8,0.9,"Crisply chocolaty, sweetly herb-toned. Cocoa nib, orange zest, fennel, red apple, cedar in aroma and cup. Sweet-savory structure with citrusy acidity; very full, satiny mouthfeel. The finish leads with notes of cocoa nib and orange zest.",central_america,"['cocoa', 'chocolaty', 'citrusy', 'nib']","chocolate, sour",2
54,Panama Mama Cata Typica,0.2,0.8,0.8,"Crisply sweet, deeply nut-toned. Dried apricot, saltwater taffy, cocoa powder, cashew, maple syrup in aroma and cup. Sweet-savory structure with brisk acidity; delicate, silky mouthfeel. Cocoa powder and cashew lead in the quiet finish.",central_america,"['cocoa', 'taffy', 'syrup', 'apricot', 'cashew']","fruity, sweety, chocolate, nutty",3
55,Guatemala Valentón,0.4,0.9,0.8,"Very sweet, intricately balanced. Milk chocolate, pineapple, nougat, oak, lily in aroma and cup. Sweet-toned with very balanced acidity; crisp, lightly satiny mouthfeel. There’s a hint of sweet chocolate in the gently drying finish that’s predominated by aromatic wood notes.",central_america,"['chocolate', 'pineapple', 'milk', 'balanced']","fruity, chocolate, body",1
56,Nicaragua Jinotega Fincas Mierisch La Escondida Red Pacamara,0.4,0.9,0.8,"Sweetly savory, uniquely composed. Ripe tomato, Meyer lemon zest, caramel, baking chocolate, redwood in aroma and cup. Savory-sweet structure with delicately bright acidity; silky-smooth mouthfeel. Caramel and Meyer lemon zest lead in the sweetly tart finish.",central_america,"['sweetly', 'caramel', 'ripe', 'savory', 'chocolate']","sweety, chocolate, body",1
57,Costa Rica Finca San Luis,0.4,0.9,0.8,"Crisp, nutty, sweetly herb-toned. Lemon balm, praline, golden raisin, baking chocolate, magnolia in aroma and cup. Richly sweet structure with balanced, high-toned acidity; crisp, satiny mouthfeel. Gently drying finish with notes of cocoa-toned raisin and praline.",central_america,"['raisin', 'chocolate', 'cocoa', 'balm']","fruity, chocolate",2
58,Colombia Finca Samboni Gesha Anaerobic Natural,0.2,0.9,0.9,"Intensely aromatic, richly sweet-tart. Raspberry jam, star jasmine, tangerine zest, oak forest, amber in aroma and cup. High-toned, sweet-tart structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The long, resonant finish centers around notes of raspberry and star jasmine.",south_america,"['tangerine', 'syrupy', 'amber', 'tart']","fruity, sweety",2
59,Colombia Tres Dragones,0.2,0.9,0.9,"Richly chocolaty, sweetly fermenty. Cherry cordial, chocolate fudge, almond brittle, fine musk, gardenia in aroma and cup. Brightly sweet structure with juicy, winey acidity; full, viscous mouthfeel. Crisply chocolaty, fruity finish with a whisper of alcohol ferment.",south_america,"['chocolaty', 'chocolate', 'fermenty', 'fudge', 'ferment']",chocolate,1
60,Rwanda Cyesha Natural,0.4,0.9,0.9,"Sweetly tart, juicy, bright. Red grape, sandalwood, dark chocolate, almond butter, pink grapefruit zest in aroma and small cup. Sweet-tart structure with elegantly high-toned acidity; syrupy-smooth mouthfeel. Crisply fruit-toned finish.",africa_arabia,"['grapefruit', 'grape', 'almond', 'fruit', 'chocolate']","fruity, chocolate, nutty",1
61,Ethiopia Guji Hambela Wate Natural G1,0.4,0.8,0.8,"High-toned, crisply sweet-tart. Dried plum, baking chocolate, rhododendron, cedar, almond in aroma and cup. Sweetly tart with brisk acidity; velvety mouthfeel. The fruit-toned finish is supported by notes of cedar and baking chocolate.",africa_arabia,"['chocolate', 'almond', 'baking', 'tart', 'fruit']","fruity, chocolate, nutty, body",4
62,Tinamit Tolimán,0.4,0.8,0.9,"Deeply sweet-tart, chocolate-toned. Dark chocolate, pomegranate, praline, magnolia, a hint of marjoram in aroma and cup. Sweet-tart structure with brisk acidity; very full, syrupy mouthfeel. The finish consolidates to dark chocolate with undertones of praline and magnolia.",central_america,"['chocolate', 'pomegranate', 'syrupy', 'marjoram']","fruity, sweety, chocolate, green",1
63,Finca Patzibir,0.4,0.8,0.9,"Crisply sweet, nut-toned. Almond brittle, pie cherry, magnolia, baking chocolate, mesquite in aroma and cup. Sweet structure with brisk acidity; very syrupy mouthfeel. The finish consolidates to notes of baking chocolate, pie cherry and mesquite.",central_america,"['chocolate', 'almond', 'brittle', 'baking', 'pie']","chocolate, nutty, body",4
64,Proyecto Aurora,0.4,0.9,0.8,"Chocolaty, floral-framed. Cocoa nib, honeysuckle, date, almond butter, cedar in aroma and cup. Sweet structure with bright acidity; satiny-smooth mouthfeel. Cocoa nib and honeysuckle carry the finish, with hints of cedar underneath.",central_america,"['cocoa', 'chocolaty', 'honeysuckle', 'floral', 'almond']","chocolate, nutty, floral",2
65,Finca El Potrero,0.4,0.9,0.8,"High-toned, enticingly sweet. Black cherry, narcissus, cashew butter, lemon verbena, juniper bark in aroma and cup. Sweet-tart structure with bright acidity; crisp, satiny-smooth mouthfeel. The finish leads with notes of black cherry and lemon verbena, rounding to creamy cashew in the long.",central_america,"['cherry', 'cashew', 'butter', 'creamy']","fruity, sweety, nutty",2
66,Chacayá Santiago Atitlán,0.4,0.8,0.8," Vibrantly sweet, subtly nuanced. Apricot, dark chocolate, hazelnut, hyacinth, honey in aroma and cup. Sweetly tart structure with brisk acidity; smooth, syrupy mouthfeel. The chocolaty finish is supported by notes of apricot and hazelnut. ",central_america,"['hazelnut', 'chocolate', 'chocolaty', 'apricot']","fruity, chocolate, nutty",1
67,Espresso No. 3,0.4,0.8504273504273505,0.9,"Evaluated as espresso. Multi-layered, complex. Dark chocolate, dried apricot, star jasmine, cedar, hazelnut butter in aroma and small cup. Very syrupy mouthfeel; crisply fruit-toned finish. In three parts milk, chocolate and apricot notes are amplified, supported by spicy florals.",central_america,"['espresso', 'hazelnut', 'chocolate', 'apricot']","fruity, chocolate, nutty",0
68,Finca Santa Isabel,0.4,0.9,0.9,"Delicate, deeply aromatic. Bergamot, nectarine, hazelnut, narcissus, cedar in aroma and cup. Sweetly savory with bright, juicy acidity; plush, syrupy mouthfeel. The resonant finish centers around notes of bergamot, narcissus and cedar. ",central_america,"['bergamot', 'hazelnut', 'nectarine', 'savory']","fruity, nutty, body",2
69,Esperanza Villa Sarchi,0.4,0.8,0.8,"Crisply sweet, nut-toned. Nutella, peach, lime zest, cedar, magnolia in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. Gently drying, very sweet nut-toned finish. ",central_america,"['nutella', 'peach', 'nut', 'lime']","fruity, nutty, sour",2
70,5a Sur,0.6,0.8,0.9,"Chocolate-toned, richly sweet-savory. Dark chocolate, nasturtium, black ucherry, cedar, agave syrup in aroma and cup. Bittersweet structure with gentle, rounded acidity; plush, syrupy mouthfeel. The quiet finish consolidates to crisp cocoa-toned cedar notes.",central_america,"['chocolate', 'cocoa', 'cedar', 'syrup', 'savory']","sweety, chocolate, green, body",3
71,5a Poniente,0.4,0.8,0.8,"Sweetly herb- and spice-toned. Lemon verbena, plum, clove, oak, maple syrup in aroma and cup. Sweetly tart structure with delicate acidity; crisp, silky mouthfeel. The finish leads with notes of lemon verbena and plum in the short, consolidating to fragrant oak in the long.",central_america,"['sweetly', 'fragrant', 'spice', 'lemon']","sweety, spicy, floral, sour",2
72,Colombia Castillo Fruit Maceration Series (Passionfruit),0.4,0.9,0.9,"Powerfully aromatic, fruit-centered. Passionfruit, lychee, ginger flower, almond brittle, kumquat in aroma and cup. Sweet-tart structure with apple-toned, malic acidity; full, syrupy mouthfeel. Exceptionally harmonious and integrated finish into the far long.",south_america,"['passionfruit', 'fruit', 'almond', 'aromatic']","fruity, nutty, floral",2
